dt,Цена на арматуру,CHMF_price,CHMF_volume,MAGN_price,MAGN_volume,NLMK_price,NLMK_volume,Ключевая ставка,Курс $,"Концентрат коксующегося угля_Россия марка ОС FCA руб./т, без НДС","Лом_HMS 1/2 80:20, FOB EC Роттердам, $/т","Лом_3А, РФ CPT ж/д Южный ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Сибирский ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Центральный ФО, руб./т, без НДС","ЖРС_Китай Iron ore fines Fe 62%, CFR","Чугун_CFR Италия, $/т","Концентрат коксующегося угля_Россия марка КО FCA руб./т, без НДС","ЖРС_Российские окатыши Fe 62-65,5%, SiO2 5,8-8,65, DAP Забайкальск-Манжули, $/т","Лом_HMS 1/2 80:20, FOB США Восток, $/т","Лом_3А, FOB РФ Черное море, $/т","Чугун_FOB Бразилия Север, $/т","Лом_HMS 1/2 80:20, CFR ЮВА, $/т","Концентрат коксующегося угля_Россия марка КС FCA руб./т, без НДС","Лом_3А, РФ FCA ж/д респ. Татарстан, руб./т, без НДС","ЖРС_Российский концентрат Fe 62,5-67,5%, SiO2 0,78-8,51, сухой вес, DAP Забайкальск-Манжули, $/т","Концентрат коксующегося угля_Россия марка К и смеси марок К, КО FCA руб./т, без НДС","Кокс_Россия Урал Сибирь +25, FCA руб./т., без НДС","Лом_3А, РФ FCA ж/д Московский регион, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж+ГЖ FCA руб./т, без НДС","Чугун_FOB Россия Черное море, $/т","ЖРС_Россия аглоруда Fe 52-60%, FCA руб./т, без НДС","ЖРС_Россия концентрат Fe 64-68%, FCA руб./т, без НДС","Чугун_Россия, FCA руб./т, без НДС","Концентрат коксующегося угля_HCC Австралия, $/t FOB","ЖРС_Россия окатыши Fe 62-65,5% FCA руб./т, без НДС","ГБЖ_CFR Италия, $/т","Лом_3А, РФ CPT ж/д Уральский ФО, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж FCA руб./т, без НДС","Лом_HMS 1/2 80:20, CFR Турция, $/т","Концентрат коксующегося угля_Средняя шихта Россия FCA руб./т, без НДС","Концентрат коксующегося угля_Россия марка ГЖ FCA руб./т, без НДС","Чугун_CFR NOLA США, $/т","Чугун_CFR Турция, $/т","ЖРС_Средневзвешенная цена окатыши Fe 62-65,5%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена концентрат Fe 64-68%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена аглоруда Fe 52-60%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в аглоруде, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в концентрате, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в окатыши, Россия FCA руб./т, без НДС","ЖРС_Украинский концентрат Fe 65-68%,  DAP граница Украины с Европой,  $/т","ЖРС_Украинские окатыши Fe 65-66%, DAP граница Украины с Европой,  $/т",Цена на бензин,Цена на дт,Год,Месяц,Неделя_года,День_недели,День_месяца,Квартал,Цена_lag1,Цена_lag2,Цена_lag4,Скользящее_среднее_4,Скользящее_среднее_8,Разница_скользящее_4,Разница_скользящее_8,Прирост_цены,Сезон_синус,Сезон_косинус
2019-05-06,39300,1032.6,464390.0,4570.0,3590000.0,170.36,2050000.0,7.75,64.6917,10300.0,275.0,16724.0,16760.0,16530.0,94.0,355.0,7700.0,99.0,286.0,267.0,330.0,315.0,7175.0,16132.0,85.0,11150.0,13700.0,15287.0,9750.0,337.0,3900.0,4975.0,21950.0,203.0,7890.0,292.5,17360.0,11025.0,303.0,9190.0,6462.5,356.0,347.5,7727.0,5151.0,3994.0,64.0,79.0,123.0,100.0,146.5,44.14,46.38,2019,5,19,0,6,2,39300.0,39300.0,39500.0,39350.0,39437.5,-50.0,-137.5,0.0,0.7485107481711013,-0.663122658240795
2019-05-13,40300,988.0,782780.0,4335.0,5350000.0,159.5,3130000.0,7.75,65.2166,10300.0,265.0,16045.0,16530.0,16116.0,95.0,356.0,7700.0,102.0,275.0,260.0,330.0,310.0,7175.0,15699.0,85.0,11150.0,13700.0,14933.0,9750.0,337.0,3900.0,4975.0,21950.0,207.0,7890.0,287.5,16972.0,11025.0,290.0,9190.0,6462.5,356.0,345.0,7727.0,5151.0,3994.0,64.0,79.0,123.0,100.0,146.5,44.14,46.38,2019,5,20,0,13,2,39300.0,39300.0,39500.0,39550.0,39487.5,750.0,812.5,0.025445292620865,0.6631226582407952,-0.7485107481711012
2019-05-20,40000,978.6,718240.0,4414.0,7020000.0,157.78,1950000.0,7.75,64.5598,10300.0,269.0,15682.0,16563.0,16074.0,96.0,358.5,7700.0,108.0,279.0,258.0,330.0,305.0,7175.0,15236.0,86.0,11150.0,13700.0,14867.0,9750.0,335.0,3900.0,4975.0,21950.0,208.0,7890.0,290.0,16812.0,11025.0,294.0,9190.0,6462.5,356.0,352.5,7727.0,5151.0,3994.0,64.0,79.0,123.0,100.0,146.5,44.14,46.38,2019,5,21,0,20,2,40300.0,39300.0,39300.0,39725.0,39562.5,275.0,437.5,-0.0074441687344912,0.5680647467311558,-0.8229838658936564
2019-05-27,40200,1002.2,163490.0,4422.0,3520000.0,164.86,1190000.0,7.75,64.4913,10300.0,285.0,15669.0,16108.0,16044.0,103.0,359.5,7700.0,108.0,292.0,275.0,330.0,305.0,7175.0,14890.0,95.0,11150.0,13700.0,14811.0,9750.0,337.0,3900.0,4975.0,21950.0,205.0,7890.0,297.5,16438.0,11025.0,310.0,9190.0,6462.5,355.0,355.0,7829.0,5175.0,3119.0,53.0,80.0,123.0,106.0,145.5,44.14,46.38,2019,5,22,0,27,2,40000.0,40300.0,39300.0,39950.0,39675.0,250.0,525.0,0.0049999999999998,0.464723172043769,-0.8854560256532096
2019-06-03,40200,1040.0,697690.0,4484.0,5240000.0,173.0,2750000.0,7.75,65.0583,10300.0,280.0,15554.0,15793.0,15921.0,103.0,360.0,7700.0,109.0,290.0,272.0,330.0,310.0,7175.0,14391.0,95.0,11150.0,13700.0,14686.0,9750.0,335.0,3900.0,4975.0,21950.0,202.0,7890.0,292.5,16118.0,11025.0,303.0,9190.0,6462.5,353.5,350.0,7829.0,5175.0,3119.0,53.0,80.0,123.0,106.0,145.5,44.02,45.93,2019,6,23,0,3,2,40200.0,40000.0,39300.0,40175.0,39762.5,25.0,437.5,0.0,0.3546048870425358,-0.9350162426854148
2019-06-10,40300,1060.0,484930.0,4544.0,8780000.0,173.22,1510000.0,7.75,65.234,10350.0,282.0,15391.0,15500.0,15636.0,99.0,355.0,7700.0,110.0,290.0,273.0,330.0,311.0,7225.0,14449.0,92.5,11225.0,13700.0,14176.0,9750.0,333.0,3690.0,5225.0,21950.0,200.0,7425.0,287.5,16094.0,11075.0,298.0,9180.0,6037.5,347.5,345.0,7829.0,5175.0,3119.0,53.0,80.0,123.0,106.0,145.5,44.02,45.93,2019,6,24,0,10,2,40200.0,40200.0,40300.0,40175.0,39862.5,125.0,437.5,0.0024875621890547,0.2393156642875576,-0.970941817426052
2019-06-17,41500,1059.6,1400000.0,4581.0,12060000.0,182.0,5770000.0,7.5,64.6314,10350.0,270.0,15565.0,15530.0,15632.0,107.0,351.0,7700.0,117.0,275.0,259.0,320.0,305.0,7225.0,14449.0,99.5,11225.0,13700.0,14097.0,9750.0,327.0,3690.0,5225.0,21950.0,197.0,7425.0,277.5,16051.0,11075.0,290.0,9180.0,6037.5,345.0,337.5,7829.0,5175.0,3119.0,53.0,80.0,123.0,106.0,145.5,44.02,45.93,2019,6,25,0,17,2,40300.0,40200.0,40000.0,40550.0,40137.5,950.0,1362.5,0.0297766749379653,0.120536680255323,-0.992708874098054
2019-06-24,40500,1083.0,467010.0,4537.0,6020000.0,168.0,4570000.0,7.5,63.3877,10350.0,256.0,15525.0,15578.0,15636.0,114.0,347.5,7700.0,123.0,265.0,250.0,315.0,305.0,7225.0,14821.0,106.5,11225.0,13700.0,14371.0,9750.0,327.0,3690.0,5225.0,21950.0,195.0,7425.0,267.5,16142.0,11075.0,279.0,9180.0,6037.5,345.0,337.5,7829.0,5175.0,3119.0,53.0,80.0,123.0,106.0,145.5,44.02,45.93,2019,6,26,0,24,2,41500.0,40300.0,40200.0,40625.0,40287.5,-125.0,212.5,-0.0240963855421686,-3.216245299353273e-16,-1.0
2019-07-01,40500,1070.8,641650.0,4510.0,4220000.0,159.0,6040000.0,7.5,63.0452,10350.0,260.0,15670.0,15608.0,16431.0,116.0,348.5,7700.0,125.0,268.0,257.0,315.0,300.0,7225.0,14991.0,108.5,11225.0,13700.0,15299.0,9750.0,332.0,3690.0,5225.0,21950.0,193.0,7425.0,270.0,16404.0,11075.0,285.0,9180.0,6037.5,354.0,340.0,7685.0,5345.0,2874.0,50.0,89.0,122.0,111.0,159.5,44.02,45.93,2019,7,27,0,1,3,40500.0,41500.0,40200.0,40700.0,40437.5,-200.0,62.5,0.0,-0.1205366802553228,-0.992708874098054
2019-07-08,40300,1066.0,607710.0,4476.0,7530000.0,158.52,5420000.0,7.5,63.4013,8825.0,274.0,16603.0,15678.0,16626.0,122.0,353.5,6200.0,130.0,278.0,268.0,315.0,305.0,6525.0,15294.0,116.0,9925.0,12525.0,15474.0,8950.0,335.0,3050.0,5275.0,21850.0,189.0,7410.0,270.0,17049.0,9550.0,298.0,8154.0,5575.0,354.0,345.0,7685.0,5345.0,2874.0,50.0,89.0,122.0,111.0,159.5,44.02,45.93,2019,7,28,0,8,3,40500.0,40500.0,40300.0,40700.0,40437.5,-400.0,-137.5,-0.0049382716049383,-0.2393156642875574,-0.970941817426052
