dt,Цена на арматуру,CHMF_price,CHMF_volume,MAGN_price,MAGN_volume,NLMK_price,NLMK_volume,Ключевая ставка,Курс $,"Концентрат коксующегося угля_Россия марка ОС FCA руб./т, без НДС","Лом_HMS 1/2 80:20, FOB EC Роттердам, $/т","Лом_3А, РФ CPT ж/д Южный ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Сибирский ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Центральный ФО, руб./т, без НДС","ЖРС_Китай Iron ore fines Fe 62%, CFR","Чугун_CFR Италия, $/т","Концентрат коксующегося угля_Россия марка КО FCA руб./т, без НДС","ЖРС_Российские окатыши Fe 62-65,5%, SiO2 5,8-8,65, DAP Забайкальск-Манжули, $/т","Лом_HMS 1/2 80:20, FOB США Восток, $/т","Лом_3А, FOB РФ Черное море, $/т","Чугун_FOB Бразилия Север, $/т","Лом_HMS 1/2 80:20, CFR ЮВА, $/т","Концентрат коксующегося угля_Россия марка КС FCA руб./т, без НДС","Лом_3А, РФ FCA ж/д респ. Татарстан, руб./т, без НДС","ЖРС_Российский концентрат Fe 62,5-67,5%, SiO2 0,78-8,51, сухой вес, DAP Забайкальск-Манжули, $/т","Концентрат коксующегося угля_Россия марка К и смеси марок К, КО FCA руб./т, без НДС","Кокс_Россия Урал Сибирь +25, FCA руб./т., без НДС","Лом_3А, РФ FCA ж/д Московский регион, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж+ГЖ FCA руб./т, без НДС","Чугун_FOB Россия Черное море, $/т","ЖРС_Россия аглоруда Fe 52-60%, FCA руб./т, без НДС","ЖРС_Россия концентрат Fe 64-68%, FCA руб./т, без НДС","Чугун_Россия, FCA руб./т, без НДС","Концентрат коксующегося угля_HCC Австралия, $/t FOB","ЖРС_Россия окатыши Fe 62-65,5% FCA руб./т, без НДС","ГБЖ_CFR Италия, $/т","Лом_3А, РФ CPT ж/д Уральский ФО, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж FCA руб./т, без НДС","Лом_HMS 1/2 80:20, CFR Турция, $/т","Концентрат коксующегося угля_Средняя шихта Россия FCA руб./т, без НДС","Концентрат коксующегося угля_Россия марка ГЖ FCA руб./т, без НДС","Чугун_CFR NOLA США, $/т","Чугун_CFR Турция, $/т","ЖРС_Средневзвешенная цена окатыши Fe 62-65,5%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена концентрат Fe 64-68%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена аглоруда Fe 52-60%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в аглоруде, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в концентрате, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в окатыши, Россия FCA руб./т, без НДС","ЖРС_Украинский концентрат Fe 65-68%,  DAP граница Украины с Европой,  $/т","ЖРС_Украинские окатыши Fe 65-66%, DAP граница Украины с Европой,  $/т",Цена на бензин,Цена на дт,Год,Месяц,Неделя_года,День_недели,День_месяца,Квартал,Цена_lag1,Цена_lag2,Цена_lag4,Скользящее_среднее_4,Скользящее_среднее_8,Разница_скользящее_4,Разница_скользящее_8,Прирост_цены,Сезон_синус,Сезон_косинус
2019-05-06,39300,,464390.0,,3590000.0,,2050000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,19,0,6,2,,,,,,-50.0,-137.5,0.0,0.7485107481711013,-0.663122658240795
2019-05-13,40300,-44.59999999999991,782780.0,-235.0,5350000.0,-10.860000000000014,3130000.0,0.0,0.5249000000000024,0.0,-10.0,-679.0,-230.0,-414.0,1.0,1.0,0.0,3.0,-11.0,-7.0,0.0,-5.0,0.0,-433.0,0.0,0.0,0.0,-354.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,-5.0,-388.0,0.0,-13.0,0.0,0.0,0.0,-2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,20,0,13,2,0.0,0.0,0.0,200.0,50.0,750.0,812.5,0.025445292620865,0.6631226582407952,-0.7485107481711012
2019-05-20,40000,-9.399999999999975,718240.0,79.0,7020000.0,-1.7199999999999989,1950000.0,0.0,-0.656800000000004,0.0,4.0,-363.0,33.0,-42.0,1.0,2.5,0.0,6.0,4.0,-2.0,0.0,-5.0,0.0,-463.0,1.0,0.0,0.0,-66.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,2.5,-160.0,0.0,4.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,21,0,20,2,1000.0,0.0,-200.0,175.0,75.0,275.0,437.5,-0.0074441687344912,0.5680647467311558,-0.8229838658936564
2019-05-27,40200,23.600000000000023,163490.0,8.0,3520000.0,7.0800000000000125,1190000.0,0.0,-0.0685000000000002,0.0,16.0,-13.0,-455.0,-30.0,7.0,1.0,0.0,0.0,13.0,17.0,0.0,0.0,0.0,-346.0,9.0,0.0,0.0,-56.0,0.0,2.0,0.0,0.0,0.0,-3.0,0.0,7.5,-374.0,0.0,16.0,0.0,0.0,-1.0,2.5,102.0,24.0,-875.0,-11.0,1.0,0.0,6.0,-1.0,0.0,0.0,0.0,5,22,0,27,2,-300.0,1000.0,0.0,225.0,112.5,250.0,525.0,0.0049999999999998,0.464723172043769,-0.8854560256532096
2019-06-03,40200,37.79999999999996,697690.0,62.0,5240000.0,8.139999999999986,2750000.0,0.0,0.5670000000000073,0.0,-5.0,-115.0,-315.0,-123.0,0.0,0.5,0.0,1.0,-2.0,-3.0,0.0,5.0,0.0,-499.0,0.0,0.0,0.0,-125.0,0.0,-2.0,0.0,0.0,0.0,-3.0,0.0,-5.0,-320.0,0.0,-7.0,0.0,0.0,-1.5,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1199999999999974,-0.4500000000000028,0.0,6,23,0,3,2,200.0,-300.0,0.0,225.0,87.5,25.0,437.5,0.0,0.3546048870425358,-0.9350162426854148
2019-06-10,40300,20.0,484930.0,60.0,8780000.0,0.2199999999999988,1510000.0,0.0,0.1756999999999919,50.0,2.0,-163.0,-293.0,-285.0,-4.0,-5.0,0.0,1.0,0.0,1.0,0.0,1.0,50.0,58.0,-2.5,75.0,0.0,-510.0,0.0,-2.0,-210.0,250.0,0.0,-2.0,-465.0,-5.0,-24.0,50.0,-5.0,-10.0,-425.0,-6.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,24,0,10,2,0.0,200.0,1000.0,0.0,100.0,125.0,437.5,0.0024875621890547,0.2393156642875576,-0.970941817426052
2019-06-17,41500,-0.4000000000000909,1400000.0,37.0,12060000.0,8.780000000000001,5770000.0,-0.25,-0.6025999999999954,0.0,-12.0,174.0,30.0,-4.0,8.0,-4.0,0.0,7.0,-15.0,-14.0,-10.0,-6.0,0.0,0.0,7.0,0.0,0.0,-79.0,0.0,-6.0,0.0,0.0,0.0,-3.0,0.0,-10.0,-43.0,0.0,-8.0,0.0,0.0,-2.5,-7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,25,0,17,2,100.0,0.0,-300.0,375.0,275.0,950.0,1362.5,0.0297766749379653,0.120536680255323,-0.992708874098054
2019-06-24,40500,23.40000000000009,467010.0,-44.0,6020000.0,-14.0,4570000.0,0.0,-1.243699999999997,0.0,-14.0,-40.0,48.0,4.0,7.0,-3.5,0.0,6.0,-10.0,-9.0,-5.0,0.0,0.0,372.0,7.0,0.0,0.0,274.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-10.0,91.0,0.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,26,0,24,2,1200.0,100.0,200.0,75.0,150.0,-125.0,212.5,-0.0240963855421686,-3.216245299353273e-16,-1.0
2019-07-01,40500,-12.200000000000044,641650.0,-27.0,4220000.0,-9.0,6040000.0,0.0,-0.3425000000000011,0.0,4.0,145.0,30.0,795.0,2.0,1.0,0.0,2.0,3.0,7.0,0.0,-5.0,0.0,170.0,2.0,0.0,0.0,928.0,0.0,5.0,0.0,0.0,0.0,-2.0,0.0,2.5,262.0,0.0,6.0,0.0,0.0,9.0,2.5,-144.0,170.0,-245.0,-3.0,9.0,-1.0,5.0,14.0,0.0,0.0,0.0,7,27,0,1,3,-1000.0,1200.0,0.0,75.0,150.0,-200.0,62.5,0.0,-0.1205366802553228,-0.992708874098054
2019-07-08,40300,-4.7999999999999545,607710.0,-34.0,7530000.0,-0.4799999999999897,5420000.0,0.0,0.3560999999999978,-1525.0,14.0,933.0,70.0,195.0,6.0,5.0,-1500.0,5.0,10.0,11.0,0.0,5.0,-700.0,303.0,7.5,-1300.0,-1175.0,175.0,-800.0,3.0,-640.0,50.0,-100.0,-4.0,-15.0,0.0,645.0,-1525.0,13.0,-1026.0,-462.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,28,0,8,3,0.0,-1000.0,100.0,0.0,0.0,-400.0,-137.5,-0.0049382716049383,-0.2393156642875574,-0.970941817426052
